"issue_key","commentId","created","author_username","issue_reporter","issue_created"
"USERGRID-257",14226505,"2014-11-26T17:34:38.262+0000","githubbot","rockerston","2014-11-26T17:26:58.000+0000"
"USERGRID-257",14226507,"2014-11-26T17:35:23.308+0000","rockerston","rockerston","2014-11-26T17:26:58.000+0000"
"USERGRID-257",14226970,"2014-11-26T23:05:26.931+0000","githubbot","rockerston","2014-11-26T17:26:58.000+0000"
"USERGRID-257",14227112,"2014-11-27T01:36:50.777+0000","githubbot","rockerston","2014-11-26T17:26:58.000+0000"
"USERGRID-257",14243472,"2014-12-12T00:37:12.008+0000","githubbot","rockerston","2014-11-26T17:26:58.000+0000"
"USERGRID-257",14243473,"2014-12-12T00:37:22.955+0000","githubbot","rockerston","2014-11-26T17:26:58.000+0000"
"USERGRID-531",14483201,"2015-04-07T14:02:23.551+0000","djohnson","jeffreyawest","2015-04-01T16:44:01.000+0000"
"USERGRID-280",14270099,"2015-01-08T21:53:59.318+0000","greyes","safeldm","2014-12-12T22:36:34.000+0000"
"USERGRID-280",14344133,"2015-03-03T00:25:44.724+0000","githubbot","safeldm","2014-12-12T22:36:34.000+0000"
"USERGRID-280",14344297,"2015-03-03T01:53:08.390+0000","githubbot","safeldm","2014-12-12T22:36:34.000+0000"
"USERGRID-280",14344388,"2015-03-03T02:51:34.576+0000","greyes","safeldm","2014-12-12T22:36:34.000+0000"
"USERGRID-294",14312515,"2015-02-09T17:36:51.414+0000","tnine","djohnson","2014-12-15T17:11:28.000+0000"
"USERGRID-1024",14791014,"2015-09-16T19:45:41.894+0000","safeldm","safeldm","2015-09-16T19:42:29.000+0000"
"USERGRID-727",14576065,"2015-06-07T01:55:21.965+0000","johndament","malaka","2015-06-07T01:07:12.000+0000"
"USERGRID-727",14576086,"2015-06-07T03:36:28.481+0000","malaka","malaka","2015-06-07T01:07:12.000+0000"
"USERGRID-727",16292349,"2017-12-15T11:05:36.984+0000","lynchlee","malaka","2015-06-07T01:07:12.000+0000"
"USERGRID-900",14682014,"2015-08-11T16:14:07.230+0000","tnine","mrusso","2015-08-04T00:04:50.000+0000"
"USERGRID-914",14875889,"2015-09-18T16:27:32.440+0000","jeffreyawest","jeffreyawest","2015-08-17T20:19:48.000+0000"
"USERGRID-929",14715665,"2015-08-26T22:48:54.157+0000","mrusso","jeffreyawest","2015-08-20T22:23:04.000+0000"
"USERGRID-915",14726187,"2015-09-01T21:04:53.216+0000","mrusso","jeffreyawest","2015-08-17T20:20:40.000+0000"
"USERGRID-901",15176675,"2016-03-02T23:07:04.113+0000","greyes","greyes","2015-08-04T18:16:13.000+0000"
"USERGRID-732",14725815,"2015-09-01T18:09:34.677+0000","jeffreyawest","jeffreyawest","2015-06-08T16:41:34.000+0000"
"USERGRID-726",14575432,"2015-06-06T00:07:56.239+0000","jeffreyawest","jeffreyawest","2015-06-06T00:06:48.000+0000"
"USERGRID-1031",15025637,"2015-11-24T22:57:50.131+0000","mrusso","jeffreyawest","2015-09-22T21:06:37.000+0000"
"USERGRID-1025",14959553,"2015-10-15T20:26:16.853+0000","djohnson","tnine","2015-09-16T22:22:58.000+0000"
"USERGRID-1025",14966814,"2015-10-21T13:36:18.816+0000","djohnson","tnine","2015-09-16T22:22:58.000+0000"
"USERGRID-295",14253674,"2014-12-19T17:24:09.013+0000","greyes","greyes","2014-12-15T17:11:40.000+0000"
"USERGRID-281",14292095,"2015-01-26T17:10:06.367+0000","greyes","safeldm","2014-12-12T22:37:15.000+0000"
"USERGRID-281",14366054,"2015-03-17T20:49:26.317+0000","greyes","safeldm","2014-12-12T22:37:15.000+0000"
"USERGRID-256",14292065,"2015-01-26T16:54:31.813+0000","greyes","greyes","2014-11-26T16:36:40.000+0000"
"USERGRID-530",14390910,"2015-04-01T16:17:38.630+0000","githubbot","djohnson","2015-04-01T16:15:06.000+0000"
"USERGRID-530",14391306,"2015-04-01T19:45:24.525+0000","githubbot","djohnson","2015-04-01T16:15:06.000+0000"
"USERGRID-530",14391448,"2015-04-01T20:57:08.470+0000","hudson","djohnson","2015-04-01T16:15:06.000+0000"
"USERGRID-530",14393280,"2015-04-02T20:07:13.519+0000","hudson","djohnson","2015-04-01T16:15:06.000+0000"
"USERGRID-530",14481382,"2015-04-06T16:27:19.733+0000","djohnson","djohnson","2015-04-01T16:15:06.000+0000"
"USERGRID-530",14481383,"2015-04-06T16:27:31.213+0000","djohnson","djohnson","2015-04-01T16:15:06.000+0000"
"USERGRID-524",14388621,"2015-03-31T14:44:26.495+0000","tnine","jeffreyawest","2015-03-31T14:30:57.000+0000"
"USERGRID-524",14388633,"2015-03-31T14:46:16.680+0000","jeffreyawest","jeffreyawest","2015-03-31T14:30:57.000+0000"
"USERGRID-242",14176300,"2014-10-19T12:19:47.458+0000","johndament","johndament","2014-10-19T12:17:47.000+0000"
"USERGRID-487",15176661,"2016-03-02T23:00:51.521+0000","mrusso","tnine","2015-03-17T21:03:21.000+0000"
"USERGRID-493",14376348,"2015-03-23T18:35:35.836+0000","greyes","greyes","2015-03-18T21:47:22.000+0000"
"USERGRID-444",15129171,"2016-02-02T22:20:18.139+0000","jeffreyawest","tnine","2015-03-02T22:11:16.000+0000"
"USERGRID-478",14361214,"2015-03-13T22:33:29.699+0000","tnine","tnine","2015-03-12T15:34:26.000+0000"
"USERGRID-478",14362636,"2015-03-16T00:52:48.877+0000","tnine","tnine","2015-03-12T15:34:26.000+0000"
"USERGRID-1353",16725502,"2018-12-20T01:40:22.966+0000","githubbot","keyurkarnik","2018-12-17T23:10:36.000+0000"
"USERGRID-1353",16725505,"2018-12-20T01:42:48.440+0000","keyurkarnik","keyurkarnik","2018-12-17T23:10:36.000+0000"
"USERGRID-1353",16725506,"2018-12-20T01:43:21.302+0000","keyurkarnik","keyurkarnik","2018-12-17T23:10:36.000+0000"
"USERGRID-1353",16730797,"2018-12-29T19:16:09.878+0000","githubbot","keyurkarnik","2018-12-17T23:10:36.000+0000"
"USERGRID-85",13955297,"2014-03-31T15:31:56.588+0000","tnine","tnine","2014-03-06T19:05:58.000+0000"
"USERGRID-85",13981245,"2014-04-25T16:58:04.162+0000","tnine","tnine","2014-03-06T19:05:58.000+0000"
"USERGRID-85",13983090,"2014-04-28T15:15:14.101+0000","tnine","tnine","2014-03-06T19:05:58.000+0000"
"USERGRID-1186",15083582,"2016-01-05T19:14:14.428+0000","jeffreyawest","greyes","2015-12-30T18:49:47.000+0000"
"USERGRID-861",14635715,"2015-07-21T20:00:42.847+0000","djohnson","jeffreyawest","2015-07-15T20:49:04.000+0000"
"USERGRID-861",14635752,"2015-07-21T20:22:11.828+0000","djohnson","jeffreyawest","2015-07-15T20:49:04.000+0000"
"USERGRID-875",14695700,"2015-08-13T18:10:27.340+0000","mrusso","jeffreyawest","2015-07-22T20:47:20.000+0000"
"USERGRID-1192",15083698,"2016-01-05T20:08:45.605+0000","jeffreyawest","jeffreyawest","2016-01-05T19:23:22.000+0000"
"USERGRID-1192",15213540,"2016-03-27T17:02:01.718+0000","mrusso","jeffreyawest","2016-01-05T19:23:22.000+0000"
"USERGRID-1192",15279641,"2016-05-11T06:25:19.050+0000","mrusso","jeffreyawest","2016-01-05T19:23:22.000+0000"
"USERGRID-646",14711392,"2015-08-25T14:55:20.742+0000","lynchlee","jeffreyawest","2015-05-11T17:49:00.000+0000"
"USERGRID-646",14711614,"2015-08-25T16:54:52.775+0000","jeffreyawest","jeffreyawest","2015-05-11T17:49:00.000+0000"
"USERGRID-646",14713512,"2015-08-26T14:26:21.527+0000","lynchlee","jeffreyawest","2015-05-11T17:49:00.000+0000"
"USERGRID-646",14715173,"2015-08-26T17:11:54.564+0000","lynchlee","jeffreyawest","2015-05-11T17:49:00.000+0000"
"USERGRID-646",14720481,"2015-08-28T20:00:31.036+0000","jeffreyawest","jeffreyawest","2015-05-11T17:49:00.000+0000"
"USERGRID-646",14721114,"2015-08-29T13:54:38.417+0000","lynchlee","jeffreyawest","2015-05-11T17:49:00.000+0000"
"USERGRID-646",15129138,"2016-02-02T22:06:45.852+0000","jeffreyawest","jeffreyawest","2015-05-11T17:49:00.000+0000"
"USERGRID-120",13968517,"2014-04-14T16:49:42.469+0000","djohnson","djohnson","2014-04-10T17:21:23.000+0000"
"USERGRID-52",14244825,"2014-12-12T21:40:36.504+0000","djohnson","djohnson","2014-01-30T15:20:10.000+0000"
"USERGRID-108",13955764,"2014-03-31T21:50:02.941+0000","djohnson","djohnson","2014-03-31T15:38:37.000+0000"
"USERGRID-108",13955766,"2014-03-31T21:50:20.837+0000","djohnson","djohnson","2014-03-31T15:38:37.000+0000"
"USERGRID-678",14571642,"2015-06-03T21:06:54.144+0000","jeffreyawest","jeffreyawest","2015-05-24T15:43:39.000+0000"
"USERGRID-122",13988076,"2014-05-02T18:38:56.282+0000","malaka","lewismc","2014-04-11T21:05:39.000+0000"
"USERGRID-44",13922612,"2014-03-06T15:03:45.617+0000","djohnson","djohnson","2014-01-29T13:55:39.000+0000"
"USERGRID-50",14031035,"2014-06-13T19:19:33.868+0000","rockerston","rockerston","2014-01-29T21:49:38.000+0000"
"USERGRID-136",13987074,"2014-05-01T22:20:54.783+0000","yigits","yigits","2014-05-01T20:05:14.000+0000"
"USERGRID-863",14630382,"2015-07-16T21:40:48.589+0000","greyes","greyes","2015-07-16T17:07:26.000+0000"
"USERGRID-863",14630384,"2015-07-16T21:41:02.090+0000","greyes","greyes","2015-07-16T17:07:26.000+0000"
"USERGRID-877",14644987,"2015-07-28T20:23:02.317+0000","djohnson","djohnson","2015-07-23T15:04:39.000+0000"
"USERGRID-93",13932628,"2014-03-12T23:13:25.581+0000","scottganyo","scottganyo","2014-03-12T23:05:08.000+0000"
"USERGRID-446",15155032,"2016-02-19T22:40:52.749+0000","greyes","tnine","2015-03-02T23:56:13.000+0000"
"USERGRID-446",15155064,"2016-02-19T22:53:48.047+0000","greyes","tnine","2015-03-02T23:56:13.000+0000"
"USERGRID-320",14272020,"2015-01-09T22:54:02.353+0000","githubbot","rbridges","2015-01-08T13:59:35.000+0000"
"USERGRID-320",14273807,"2015-01-12T17:30:26.611+0000","githubbot","rbridges","2015-01-08T13:59:35.000+0000"
"USERGRID-320",14280881,"2015-01-16T21:56:09.534+0000","rbridges","rbridges","2015-01-08T13:59:35.000+0000"
"USERGRID-320",14323021,"2015-02-16T17:09:12.748+0000","rbridges","rbridges","2015-01-08T13:59:35.000+0000"
"USERGRID-334",14649539,"2015-07-31T17:50:07.690+0000","greyes","greyes","2015-01-09T23:31:56.000+0000"
"USERGRID-485",14627351,"2015-07-15T00:42:18.344+0000","mrusso","safeldm","2015-03-16T16:16:16.000+0000"
"USERGRID-491",14367532,"2015-03-18T17:37:30.837+0000","tnine","tnine","2015-03-18T17:12:40.000+0000"
"USERGRID-491",14367535,"2015-03-18T17:38:42.641+0000","tnine","tnine","2015-03-18T17:12:40.000+0000"
"USERGRID-491",14368131,"2015-03-18T23:26:49.640+0000","tnine","tnine","2015-03-18T17:12:40.000+0000"
"USERGRID-491",14392717,"2015-04-02T13:52:50.793+0000","djohnson","tnine","2015-03-18T17:12:40.000+0000"
"USERGRID-491",14392940,"2015-04-02T16:51:31.737+0000","tnine","tnine","2015-03-18T17:12:40.000+0000"
"USERGRID-491",14481387,"2015-04-06T16:30:49.518+0000","djohnson","tnine","2015-03-18T17:12:40.000+0000"
"USERGRID-491",14483157,"2015-04-07T13:41:46.990+0000","githubbot","tnine","2015-03-18T17:12:40.000+0000"
"USERGRID-491",14483167,"2015-04-07T13:47:01.135+0000","djohnson","tnine","2015-03-18T17:12:40.000+0000"
"USERGRID-491",14484003,"2015-04-07T20:37:57.403+0000","githubbot","tnine","2015-03-18T17:12:40.000+0000"
"USERGRID-491",14485232,"2015-04-08T13:34:42.898+0000","djohnson","tnine","2015-03-18T17:12:40.000+0000"
"USERGRID-268",14725832,"2015-09-01T18:16:11.225+0000","jeffreyawest","djohnson","2014-12-08T15:05:36.000+0000"
"USERGRID-532",14900089,"2015-09-20T22:18:00.906+0000","safeldm","jeffreyawest","2015-04-01T17:09:14.000+0000"
"USERGRID-532",15213550,"2016-03-27T17:22:45.485+0000","mrusso","jeffreyawest","2015-04-01T17:09:14.000+0000"
"USERGRID-254",14224616,"2014-11-25T14:39:53.848+0000","djohnson","tnine","2014-11-25T14:39:07.000+0000"
"USERGRID-254",14241273,"2014-12-10T15:52:18.552+0000","githubbot","tnine","2014-11-25T14:39:07.000+0000"
"USERGRID-254",14241276,"2014-12-10T15:54:54.208+0000","djohnson","tnine","2014-11-25T14:39:07.000+0000"
"USERGRID-254",14243079,"2014-12-11T20:19:52.541+0000","githubbot","tnine","2014-11-25T14:39:07.000+0000"
"USERGRID-254",14244118,"2014-12-12T13:21:15.172+0000","githubbot","tnine","2014-11-25T14:39:07.000+0000"
"USERGRID-254",14244137,"2014-12-12T13:33:02.149+0000","githubbot","tnine","2014-11-25T14:39:07.000+0000"
"USERGRID-254",14244554,"2014-12-12T18:24:01.757+0000","githubbot","tnine","2014-11-25T14:39:07.000+0000"
"USERGRID-254",14246972,"2014-12-15T18:30:48.227+0000","githubbot","tnine","2014-11-25T14:39:07.000+0000"
"USERGRID-254",14248335,"2014-12-16T14:57:56.916+0000","githubbot","tnine","2014-11-25T14:39:07.000+0000"
"USERGRID-724",14637106,"2015-07-22T15:48:45.021+0000","safeldm","jeffreyawest","2015-06-04T17:21:14.000+0000"
"USERGRID-903",15113347,"2016-01-22T23:42:27.034+0000","greyes","greyes","2015-08-04T18:31:57.000+0000"
"USERGRID-902",14654514,"2015-08-04T23:12:48.285+0000","tnine","greyes","2015-08-04T18:22:18.000+0000"
"USERGRID-902",14680391,"2015-08-10T17:18:58.877+0000","greyes","greyes","2015-08-04T18:22:18.000+0000"
"USERGRID-725",14575429,"2015-06-06T00:02:40.174+0000","jeffreyawest","jeffreyawest","2015-06-05T22:17:12.000+0000"
"USERGRID-725",14575433,"2015-06-06T00:08:39.119+0000","jeffreyawest","jeffreyawest","2015-06-05T22:17:12.000+0000"
"USERGRID-719",14571570,"2015-06-03T20:14:34.984+0000","jeffreyawest","jeffreyawest","2015-06-03T20:13:15.000+0000"
"USERGRID-719",14580820,"2015-06-10T17:10:28.707+0000","mrusso","jeffreyawest","2015-06-03T20:13:15.000+0000"
"USERGRID-719",14584038,"2015-06-12T20:37:04.650+0000","mrusso","jeffreyawest","2015-06-03T20:13:15.000+0000"
"USERGRID-1032",15014820,"2015-11-20T00:10:37.860+0000","mrusso","jeffreyawest","2015-09-22T21:06:50.000+0000"
"USERGRID-241",14577468,"2015-06-08T16:56:13.129+0000","jeffreyawest","djohnson","2014-10-14T13:31:58.000+0000"
"USERGRID-241",15399951,"2016-07-29T20:29:03.528+0000","mrusso","djohnson","2014-10-14T13:31:58.000+0000"
"USERGRID-241",16785203,"2019-03-06T04:04:42.754+0000","xingh","djohnson","2014-10-14T13:31:58.000+0000"
"USERGRID-527",14389467,"2015-03-31T21:40:57.566+0000","tnine","jeffreyawest","2015-03-31T17:19:17.000+0000"
"USERGRID-527",14505802,"2015-04-21T21:29:12.721+0000","githubbot","jeffreyawest","2015-03-31T17:19:17.000+0000"
"USERGRID-527",14505861,"2015-04-21T21:53:52.445+0000","githubbot","jeffreyawest","2015-03-31T17:19:17.000+0000"
"USERGRID-527",14518999,"2015-04-29T09:08:44.110+0000","githubbot","jeffreyawest","2015-03-31T17:19:17.000+0000"
"USERGRID-527",14529349,"2015-05-05T21:48:57.052+0000","jeffreyawest","jeffreyawest","2015-03-31T17:19:17.000+0000"
"USERGRID-527",14694322,"2015-08-12T22:33:03.906+0000","githubbot","jeffreyawest","2015-03-31T17:19:17.000+0000"
"USERGRID-527",14699017,"2015-08-17T04:53:52.781+0000","githubbot","jeffreyawest","2015-03-31T17:19:17.000+0000"
"USERGRID-533",14483166,"2015-04-07T13:46:08.477+0000","djohnson","jeffreyawest","2015-04-01T17:18:30.000+0000"
"USERGRID-533",14485236,"2015-04-08T13:36:32.059+0000","djohnson","jeffreyawest","2015-04-01T17:18:30.000+0000"
"USERGRID-255",14226285,"2014-11-26T15:10:52.608+0000","djohnson","tnine","2014-11-25T14:52:11.000+0000"
"USERGRID-255",14230395,"2014-12-01T20:31:47.729+0000","githubbot","tnine","2014-11-25T14:52:11.000+0000"
"USERGRID-255",14236114,"2014-12-05T21:12:12.259+0000","safeldm","tnine","2014-11-25T14:52:11.000+0000"
"USERGRID-255",14236149,"2014-12-05T21:32:42.934+0000","tnine","tnine","2014-11-25T14:52:11.000+0000"
"USERGRID-255",14500619,"2015-04-17T20:37:52.833+0000","githubbot","tnine","2014-11-25T14:52:11.000+0000"
"USERGRID-255",14503092,"2015-04-20T16:07:44.141+0000","djohnson","tnine","2014-11-25T14:52:11.000+0000"
"USERGRID-335",14371625,"2015-03-20T17:00:42.406+0000","githubbot","greyes","2015-01-09T23:32:15.000+0000"
"USERGRID-335",14371640,"2015-03-20T17:05:17.985+0000","greyes","greyes","2015-01-09T23:32:15.000+0000"
"USERGRID-453",14577435,"2015-06-08T16:29:18.070+0000","jeffreyawest","safeldm","2015-03-04T17:55:38.000+0000"
"USERGRID-447",15215158,"2016-03-29T00:36:29.476+0000","mrusso","tnine","2015-03-03T02:20:12.000+0000"
"USERGRID-447",15279621,"2016-05-11T06:09:48.291+0000","mrusso","tnine","2015-03-03T02:20:12.000+0000"
"USERGRID-321",14270073,"2015-01-08T21:27:46.343+0000","githubbot","djohnson","2015-01-08T21:10:48.000+0000"
"USERGRID-321",14270074,"2015-01-08T21:28:05.995+0000","djohnson","djohnson","2015-01-08T21:10:48.000+0000"
"USERGRID-321",14270105,"2015-01-08T21:57:54.819+0000","githubbot","djohnson","2015-01-08T21:10:48.000+0000"
"USERGRID-1344",16033038,"2017-06-01T14:12:26.469+0000","githubbot","vineetverma.it","2017-06-01T14:10:23.000+0000"
"USERGRID-1344",16033039,"2017-06-01T14:12:53.794+0000","vineetverma.it","vineetverma.it","2017-06-01T14:10:23.000+0000"
"USERGRID-1344",16051763,"2017-06-16T10:56:52.638+0000","vineetverma.it","vineetverma.it","2017-06-01T14:10:23.000+0000"
"USERGRID-92",13938493,"2014-03-17T22:37:39.224+0000","greyes","greyes","2014-03-10T21:50:38.000+0000"
"USERGRID-92",13939963,"2014-03-18T23:35:12.634+0000","greyes","greyes","2014-03-10T21:50:38.000+0000"
"USERGRID-686",14565309,"2015-05-29T20:00:44.525+0000","greyes","greyes","2015-05-29T17:11:07.000+0000"
"USERGRID-86",13923088,"2014-03-06T21:27:44.376+0000","safeldm","safeldm","2014-03-06T21:21:44.000+0000"
"USERGRID-86",13923089,"2014-03-06T21:27:44.823+0000","safeldm","safeldm","2014-03-06T21:21:44.000+0000"
"USERGRID-876",15002500,"2015-11-12T17:31:25.711+0000","djohnson","jeffreyawest","2015-07-22T21:00:59.000+0000"
"USERGRID-876",15009429,"2015-11-17T20:24:14.339+0000","djohnson","jeffreyawest","2015-07-22T21:00:59.000+0000"
"USERGRID-876",15011307,"2015-11-18T16:22:31.731+0000","djohnson","jeffreyawest","2015-07-22T21:00:59.000+0000"
"USERGRID-876",15011308,"2015-11-18T16:22:40.507+0000","djohnson","jeffreyawest","2015-07-22T21:00:59.000+0000"
"USERGRID-1191",15133264,"2016-02-04T23:00:54.406+0000","githubbot","jeffreyawest","2016-01-05T19:09:12.000+0000"
"USERGRID-862",14630404,"2015-07-16T21:53:47.528+0000","greyes","greyes","2015-07-16T17:06:15.000+0000"
"USERGRID-889",14652201,"2015-08-03T18:12:52.879+0000","djohnson","djohnson","2015-07-28T20:18:45.000+0000"
"USERGRID-137",13987244,"2014-05-02T01:21:42.394+0000","yigits","yigits","2014-05-01T22:42:55.000+0000"
"USERGRID-137",13987626,"2014-05-02T12:12:08.087+0000","yigits","yigits","2014-05-01T22:42:55.000+0000"
"USERGRID-645",14739654,"2015-09-10T21:41:39.632+0000","githubbot","tnine","2015-05-11T16:58:37.000+0000"
"USERGRID-645",14739669,"2015-09-10T21:49:59.610+0000","githubbot","tnine","2015-05-11T16:58:37.000+0000"
"USERGRID-645",14739814,"2015-09-10T23:03:26.629+0000","githubbot","tnine","2015-05-11T16:58:37.000+0000"
"USERGRID-679",14625120,"2015-07-13T18:35:12.189+0000","jeffreyawest","jeffreyawest","2015-05-26T15:26:51.000+0000"
"USERGRID-899",14654348,"2015-08-04T21:06:47.608+0000","mrusso","mrusso","2015-07-31T19:04:19.000+0000"
"USERGRID-41",14017995,"2014-06-04T18:46:35.672+0000","malaka","rockerston","2014-01-28T19:42:16.000+0000"
"USERGRID-41",14031041,"2014-06-13T19:22:57.715+0000","rockerston","rockerston","2014-01-28T19:42:16.000+0000"
"USERGRID-41",14082519,"2014-08-01T17:09:42.850+0000","malaka","rockerston","2014-01-28T19:42:16.000+0000"
"USERGRID-127",14032572,"2014-06-16T15:46:18.935+0000","djohnson","djohnson","2014-04-14T13:30:47.000+0000"
"USERGRID-133",14900850,"2015-09-21T15:43:27.118+0000","jeffreyawest","rockerston","2014-04-22T20:48:00.000+0000"
"USERGRID-55",13999294,"2014-05-15T21:53:32.877+0000","tnine","tnine","2014-01-31T18:53:34.000+0000"
"USERGRID-82",13969606,"2014-04-15T15:04:47.111+0000","tnine","scottganyo","2014-02-14T21:28:03.000+0000"
"USERGRID-82",14095887,"2014-08-13T18:34:57.407+0000","githubbot","scottganyo","2014-02-14T21:28:03.000+0000"
"USERGRID-82",14095888,"2014-08-13T18:35:03.143+0000","stliu","scottganyo","2014-02-14T21:28:03.000+0000"
"USERGRID-82",14105050,"2014-08-21T05:11:24.781+0000","githubbot","scottganyo","2014-02-14T21:28:03.000+0000"
"USERGRID-82",14105254,"2014-08-21T09:46:46.151+0000","githubbot","scottganyo","2014-02-14T21:28:03.000+0000"
"USERGRID-82",14105862,"2014-08-21T19:58:28.903+0000","githubbot","scottganyo","2014-02-14T21:28:03.000+0000"
"USERGRID-82",14106469,"2014-08-22T05:07:43.372+0000","stliu","scottganyo","2014-02-14T21:28:03.000+0000"
"USERGRID-82",14202529,"2014-11-07T19:39:04.143+0000","githubbot","scottganyo","2014-02-14T21:28:03.000+0000"
"USERGRID-82",14241990,"2014-12-11T01:52:02.530+0000","githubbot","scottganyo","2014-02-14T21:28:03.000+0000"
"USERGRID-82",14694336,"2015-08-12T22:40:02.431+0000","githubbot","scottganyo","2014-02-14T21:28:03.000+0000"
"USERGRID-82",14988341,"2015-11-03T22:48:16.976+0000","githubbot","scottganyo","2014-02-14T21:28:03.000+0000"
"USERGRID-82",14988346,"2015-11-03T22:50:05.820+0000","githubbot","scottganyo","2014-02-14T21:28:03.000+0000"
"USERGRID-696",14567985,"2015-06-01T20:57:17.865+0000","greyes","safeldm","2015-06-01T14:32:10.000+0000"
"USERGRID-96",13998915,"2014-05-15T17:10:00.303+0000","malaka","rockerston","2014-03-13T11:19:28.000+0000"
"USERGRID-96",13998919,"2014-05-15T17:12:20.621+0000","malaka","rockerston","2014-03-13T11:19:28.000+0000"
"USERGRID-872",14983326,"2015-10-30T21:11:59.533+0000","djohnson","djohnson","2015-07-22T12:38:07.000+0000"
"USERGRID-872",15083577,"2016-01-05T19:11:50.904+0000","jeffreyawest","djohnson","2015-07-22T12:38:07.000+0000"
"USERGRID-325",14274715,"2015-01-13T05:04:31.572+0000","githubbot","greyes","2015-01-09T23:08:34.000+0000"
"USERGRID-325",14288579,"2015-01-23T01:43:53.555+0000","githubbot","greyes","2015-01-09T23:08:34.000+0000"
"USERGRID-325",14694263,"2015-08-12T22:09:23.205+0000","githubbot","greyes","2015-01-09T23:08:34.000+0000"
"USERGRID-325",14965582,"2015-10-20T19:16:54.892+0000","githubbot","greyes","2015-01-09T23:08:34.000+0000"
"USERGRID-457",14370641,"2015-03-20T03:23:17.841+0000","githubbot","rockerston","2015-03-06T00:56:50.000+0000"
"USERGRID-457",14371258,"2015-03-20T13:12:05.133+0000","githubbot","rockerston","2015-03-06T00:56:50.000+0000"
